"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisconstitutionidsignalement","natureiddeclaration","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"18989168","17467329","29617249","484495478","00022","202208","04","01","01","61708935240001","1","01","000001","F1Iw78FdcbANrUGBQD1gc5y","2022-08-18 20:30:58.626","P22V01","02","upload","CNAV","HISTO_IJ","\N"
"18989169","17467330","29617250","484495478","00022","202208","04","01","01","61708935240001","1","01","000001","F1Iw78FdcbANrUGBQD1gc5y","2022-08-18 20:30:58.867","P22V01","02","upload","MSADO","DSN","\N"
"19595603","18007504","30538536","776190951","00249","202210","04","01","01","2886","1","01","000001","WSFFdK701poq4iOJiPOHotS","2022-10-05 14:44:47.189","P22V01","02","MtoM","MSADO","DSN","\N"
"19595604","18007506","30538538","776190951","00249","202210","04","01","01","2886","1","01","000001","WSFFdK701poq4iOJiPOHotS","2022-10-05 14:44:47.769","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19581397","17994419","30516786","781391099","00087","202210","04","01","01","1416","1","01","000001","WSjqQoMJTI4fZrCxdq1jjSK","2022-10-05 08:24:21.778","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19581398","17994420","30516787","781391099","00087","202210","04","01","01","1416","1","01","000001","WSjqQoMJTI4fZrCxdq1jjSK","2022-10-05 08:24:22.011","P22V01","02","MtoM","MSADO","DSN","\N"
"19599098","18010831","30544277","783227648","00020","202210","04","01","01","783227648000194","1","01","000001","WSz50J9KL9la45GtH--nksk","2022-10-05 16:10:10.404","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
"19599099","18010832","30544278","783227648","00020","202210","04","01","01","783227648000194","1","01","000001","WSz50J9KL9la45GtH--nksk","2022-10-05 16:10:10.978","P22V01","02","MtoM","MSADO","DSN","\N"
"19745491","18149440","30797300","783854086","00023","202210","04","01","01","1532","1","01","000001","WSnQm85N4gnJpiNhhsELpb7","2022-10-12 16:07:55.958","P22V01","02","MtoM","MSADO","DSN","\N"
"19745492","18149441","30797301","783854086","00023","202210","04","01","01","1532","1","01","000001","WSnQm85N4gnJpiNhhsELpb7","2022-10-12 16:07:56.868","P22V01","02","MtoM","CNAV","HISTO_IJ","\N"
